Instruction,Category,Constraints,Number_of_Constraints,SelectedConstraints
"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",Realistic Fiction,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile.
8. Develop a supporting character who acts as a mentor to both the protagonist and love interest.
9. The climax should occur during a thunderstorm that forces the characters to seek shelter together.
10. Integrate a recurring motif of birds to symbolize freedom and new beginnings.
11. One of the characters must have a hobby that seems unconventional at first but later plays a significant role in the plot.
12. Include a parallel love story from the past that mirrors the main characters' journey.
13. The dialogue must be minimalistic, with emotions conveyed through actions and gestures.
14. Utilize flashback scenes to slowly unveil the backstory of the lost scarf and its significance.
15. The story should be structured in three acts, each highlighting a different stage of the characters' relationship.
16. End the story with a bittersweet revelation that leaves the readers hopeful yet reflective.
17. Incorporate a metaphor involving a tree to represent the growth and stability of the characters' love.
18. Create a series of obstacles that the characters must overcome together to emphasize their bond.
19. Include a moment of sacrifice where one character puts the other's needs above their own.
20. Use foreshadowing to hint at the eventual reunion of the characters beyond the scope of the story.",7,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile."
"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",Realistic Fiction,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile.
8. Develop a supporting character who acts as a mentor to both the protagonist and love interest.
9. The climax should occur during a thunderstorm that forces the characters to seek shelter together.
10. Integrate a recurring motif of birds to symbolize freedom and new beginnings.
11. One of the characters must have a hobby that seems unconventional at first but later plays a significant role in the plot.
12. Include a parallel love story from the past that mirrors the main characters' journey.
13. The dialogue must be minimalistic, with emotions conveyed through actions and gestures.
14. Utilize flashback scenes to slowly unveil the backstory of the lost scarf and its significance.
15. The story should be structured in three acts, each highlighting a different stage of the characters' relationship.
16. End the story with a bittersweet revelation that leaves the readers hopeful yet reflective.
17. Incorporate a metaphor involving a tree to represent the growth and stability of the characters' love.
18. Create a series of obstacles that the characters must overcome together to emphasize their bond.
19. Include a moment of sacrifice where one character puts the other's needs above their own.
20. Use foreshadowing to hint at the eventual reunion of the characters beyond the scope of the story.",11,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile.
8. Develop a supporting character who acts as a mentor to both the protagonist and love interest.
9. The climax should occur during a thunderstorm that forces the characters to seek shelter together.
10. Integrate a recurring motif of birds to symbolize freedom and new beginnings.
11. One of the characters must have a hobby that seems unconventional at first but later plays a significant role in the plot."
"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",Realistic Fiction,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile.
8. Develop a supporting character who acts as a mentor to both the protagonist and love interest.
9. The climax should occur during a thunderstorm that forces the characters to seek shelter together.
10. Integrate a recurring motif of birds to symbolize freedom and new beginnings.
11. One of the characters must have a hobby that seems unconventional at first but later plays a significant role in the plot.
12. Include a parallel love story from the past that mirrors the main characters' journey.
13. The dialogue must be minimalistic, with emotions conveyed through actions and gestures.
14. Utilize flashback scenes to slowly unveil the backstory of the lost scarf and its significance.
15. The story should be structured in three acts, each highlighting a different stage of the characters' relationship.
16. End the story with a bittersweet revelation that leaves the readers hopeful yet reflective.
17. Incorporate a metaphor involving a tree to represent the growth and stability of the characters' love.
18. Create a series of obstacles that the characters must overcome together to emphasize their bond.
19. Include a moment of sacrifice where one character puts the other's needs above their own.
20. Use foreshadowing to hint at the eventual reunion of the characters beyond the scope of the story.",15,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile.
8. Develop a supporting character who acts as a mentor to both the protagonist and love interest.
9. The climax should occur during a thunderstorm that forces the characters to seek shelter together.
10. Integrate a recurring motif of birds to symbolize freedom and new beginnings.
11. One of the characters must have a hobby that seems unconventional at first but later plays a significant role in the plot.
12. Include a parallel love story from the past that mirrors the main characters' journey.
13. The dialogue must be minimalistic, with emotions conveyed through actions and gestures.
14. Utilize flashback scenes to slowly unveil the backstory of the lost scarf and its significance.
15. The story should be structured in three acts, each highlighting a different stage of the characters' relationship."
"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",Realistic Fiction,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile.
8. Develop a supporting character who acts as a mentor to both the protagonist and love interest.
9. The climax should occur during a thunderstorm that forces the characters to seek shelter together.
10. Integrate a recurring motif of birds to symbolize freedom and new beginnings.
11. One of the characters must have a hobby that seems unconventional at first but later plays a significant role in the plot.
12. Include a parallel love story from the past that mirrors the main characters' journey.
13. The dialogue must be minimalistic, with emotions conveyed through actions and gestures.
14. Utilize flashback scenes to slowly unveil the backstory of the lost scarf and its significance.
15. The story should be structured in three acts, each highlighting a different stage of the characters' relationship.
16. End the story with a bittersweet revelation that leaves the readers hopeful yet reflective.
17. Incorporate a metaphor involving a tree to represent the growth and stability of the characters' love.
18. Create a series of obstacles that the characters must overcome together to emphasize their bond.
19. Include a moment of sacrifice where one character puts the other's needs above their own.
20. Use foreshadowing to hint at the eventual reunion of the characters beyond the scope of the story.",19,"1. The lost scarf must have a unique pattern that becomes a symbolic motif throughout the story.
2. The protagonist must have a fear of public spaces which he must overcome to return the scarf.
3. The love interest has a pet dog that plays a crucial role in bringing them together.
4. Include a subplot where the love interest is struggling with a family issue that the protagonist helps resolve.
5. The story must alternate between past and present timelines to gradually reveal the history between the characters.
6. Use descriptive language to evoke the senses, focusing especially on the sense of touch and smell.
7. Incorporate a major misunderstanding that causes a rift between the characters before they reconcile.
8. Develop a supporting character who acts as a mentor to both the protagonist and love interest.
9. The climax should occur during a thunderstorm that forces the characters to seek shelter together.
10. Integrate a recurring motif of birds to symbolize freedom and new beginnings.
11. One of the characters must have a hobby that seems unconventional at first but later plays a significant role in the plot.
12. Include a parallel love story from the past that mirrors the main characters' journey.
13. The dialogue must be minimalistic, with emotions conveyed through actions and gestures.
14. Utilize flashback scenes to slowly unveil the backstory of the lost scarf and its significance.
15. The story should be structured in three acts, each highlighting a different stage of the characters' relationship.
16. End the story with a bittersweet revelation that leaves the readers hopeful yet reflective.
17. Incorporate a metaphor involving a tree to represent the growth and stability of the characters' love.
18. Create a series of obstacles that the characters must overcome together to emphasize their bond.
19. Include a moment of sacrifice where one character puts the other's needs above their own."
A famous shoe designer asks you to quit your job and be his latest model.,Realistic Fiction,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background.
12. Include at least five descriptive passages showcasing the intricate details of the shoes you model. 
13. The story should contain a metaphorical element related to walking in someone else's shoes.
14. Your character must have a hidden talent for sketching shoe designs, which becomes crucial to the plot.
15. The ending must leave readers with a question about the authenticity of the shoe designer's intentions. 
16. Introduce a subplot where the shoe designer discovers a long-lost family connection with your character.
17. The story must have a dream sequence where you dance ballet in the exotic shoes.
18. There should be a symbolic reference to Cinderella's glass slipper in one of the shoe designs.
19. The story should seamlessly blend elements of high fashion with everyday struggles.
20. Include a dialogue between you and the shoe designer discussing the deeper meaning of footwear in society.",3,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled."
A famous shoe designer asks you to quit your job and be his latest model.,Realistic Fiction,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background.
12. Include at least five descriptive passages showcasing the intricate details of the shoes you model. 
13. The story should contain a metaphorical element related to walking in someone else's shoes.
14. Your character must have a hidden talent for sketching shoe designs, which becomes crucial to the plot.
15. The ending must leave readers with a question about the authenticity of the shoe designer's intentions. 
16. Introduce a subplot where the shoe designer discovers a long-lost family connection with your character.
17. The story must have a dream sequence where you dance ballet in the exotic shoes.
18. There should be a symbolic reference to Cinderella's glass slipper in one of the shoe designs.
19. The story should seamlessly blend elements of high fashion with everyday struggles.
20. Include a dialogue between you and the shoe designer discussing the deeper meaning of footwear in society.",7,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion."
A famous shoe designer asks you to quit your job and be his latest model.,Realistic Fiction,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background.
12. Include at least five descriptive passages showcasing the intricate details of the shoes you model. 
13. The story should contain a metaphorical element related to walking in someone else's shoes.
14. Your character must have a hidden talent for sketching shoe designs, which becomes crucial to the plot.
15. The ending must leave readers with a question about the authenticity of the shoe designer's intentions. 
16. Introduce a subplot where the shoe designer discovers a long-lost family connection with your character.
17. The story must have a dream sequence where you dance ballet in the exotic shoes.
18. There should be a symbolic reference to Cinderella's glass slipper in one of the shoe designs.
19. The story should seamlessly blend elements of high fashion with everyday struggles.
20. Include a dialogue between you and the shoe designer discussing the deeper meaning of footwear in society.",11,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background."
A famous shoe designer asks you to quit your job and be his latest model.,Realistic Fiction,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background.
12. Include at least five descriptive passages showcasing the intricate details of the shoes you model. 
13. The story should contain a metaphorical element related to walking in someone else's shoes.
14. Your character must have a hidden talent for sketching shoe designs, which becomes crucial to the plot.
15. The ending must leave readers with a question about the authenticity of the shoe designer's intentions. 
16. Introduce a subplot where the shoe designer discovers a long-lost family connection with your character.
17. The story must have a dream sequence where you dance ballet in the exotic shoes.
18. There should be a symbolic reference to Cinderella's glass slipper in one of the shoe designs.
19. The story should seamlessly blend elements of high fashion with everyday struggles.
20. Include a dialogue between you and the shoe designer discussing the deeper meaning of footwear in society.",15,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background.
12. Include at least five descriptive passages showcasing the intricate details of the shoes you model.
13. The story should contain a metaphorical element related to walking in someone else's shoes.
14. Your character must have a hidden talent for sketching shoe designs, which becomes crucial to the plot.
15. The ending must leave readers with a question about the authenticity of the shoe designer's intentions."
A famous shoe designer asks you to quit your job and be his latest model.,Realistic Fiction,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background.
12. Include at least five descriptive passages showcasing the intricate details of the shoes you model. 
13. The story should contain a metaphorical element related to walking in someone else's shoes.
14. Your character must have a hidden talent for sketching shoe designs, which becomes crucial to the plot.
15. The ending must leave readers with a question about the authenticity of the shoe designer's intentions. 
16. Introduce a subplot where the shoe designer discovers a long-lost family connection with your character.
17. The story must have a dream sequence where you dance ballet in the exotic shoes.
18. There should be a symbolic reference to Cinderella's glass slipper in one of the shoe designs.
19. The story should seamlessly blend elements of high fashion with everyday struggles.
20. Include a dialogue between you and the shoe designer discussing the deeper meaning of footwear in society.",19,"1. You must be a retired ballet dancer in your mid-thirties seeking a new career path.
2. The famous shoe designer's brand specializes in avant-garde footwear with unconventional designs.
3. Your character must have a fear of heights and the shoes you model are all high-heeled.
4. The story should be written in the first-person perspective to bring out your character's inner thoughts and emotions.
5. The shoe designer must have a quirky habit of only speaking in rhymes.
6. Include at least three different photo shoots in exotic locations like a desert or underwater.
7. The story must explore the theme of identity and self-discovery through the lens of fashion.
8. Introduce a rival model who tries to sabotage your career opportunity.
9. Incorporate a subplot where the shoe designer goes missing, adding a mystery element to the story.
10. The climax should involve a fashion show where you have to overcome your fear of heights in front of a live audience.
11. Your character must have a best friend who is a skeptical journalist investigating the shoe designer's background.
12. Include at least five descriptive passages showcasing the intricate details of the shoes you model.
13. The story should contain a metaphorical element related to walking in someone else's shoes.
14. Your character must have a hidden talent for sketching shoe designs, which becomes crucial to the plot.
15. The ending must leave readers with a question about the authenticity of the shoe designer's intentions.
16. Introduce a subplot where the shoe designer discovers a long-lost family connection with your character.
17. The story must have a dream sequence where you dance ballet in the exotic shoes.
18. There should be a symbolic reference to Cinderella's glass slipper in one of the shoe designs.
19. The story should seamlessly blend elements of high fashion with everyday struggles."
"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",Realistic Fiction,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention.
4. The character must create a vision board to visually represent their new goals and intentions.
5. The setting of the story must be in a remote countryside to symbolize the character's journey of self-discovery.
6. The character must have a daily gratitude journal to record positive aspects of their life.
7. The story must include a series of flashbacks to depict significant events that shaped the character's negative philosophy.
8. The character must undergo a physical transformation, such as changing their appearance or adopting a new lifestyle.
9. The story must incorporate elements of mindfulness and meditation practices that aid the character in living with intention.
10. The character must engage in volunteer work to give back to the community and find purpose.
11. The character must face internal conflicts and self-doubt throughout their transformation journey.
12. The story must explore the challenges the character faces when trying to align their new intentions with their past beliefs.
13. The character must have a recurring dream that symbolizes their internal struggles and growth.
14. Dialogue in the story should be introspective and philosophical, reflecting the character's internal thoughts and conflicts.
15. The story must include a symbolic object that represents the character's old philosophy and another that represents their new intentions.
16. The character must have a playlist of motivational songs that accompany them on their journey.
17. The climax of the story must involve a moment where the character must make a significant choice that demonstrates their commitment to living with intention.
18. The story must end with the character embarking on a new chapter in their life, leaving room for readers to imagine their future.
19. The narrative style of the story should be introspective and reflective, focusing on the character's emotional and mental transformation.
20. The story must emphasize the importance of self-awareness and authenticity in living a life of intention.",3,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention."
"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",Realistic Fiction,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention.
4. The character must create a vision board to visually represent their new goals and intentions.
5. The setting of the story must be in a remote countryside to symbolize the character's journey of self-discovery.
6. The character must have a daily gratitude journal to record positive aspects of their life.
7. The story must include a series of flashbacks to depict significant events that shaped the character's negative philosophy.
8. The character must undergo a physical transformation, such as changing their appearance or adopting a new lifestyle.
9. The story must incorporate elements of mindfulness and meditation practices that aid the character in living with intention.
10. The character must engage in volunteer work to give back to the community and find purpose.
11. The character must face internal conflicts and self-doubt throughout their transformation journey.
12. The story must explore the challenges the character faces when trying to align their new intentions with their past beliefs.
13. The character must have a recurring dream that symbolizes their internal struggles and growth.
14. Dialogue in the story should be introspective and philosophical, reflecting the character's internal thoughts and conflicts.
15. The story must include a symbolic object that represents the character's old philosophy and another that represents their new intentions.
16. The character must have a playlist of motivational songs that accompany them on their journey.
17. The climax of the story must involve a moment where the character must make a significant choice that demonstrates their commitment to living with intention.
18. The story must end with the character embarking on a new chapter in their life, leaving room for readers to imagine their future.
19. The narrative style of the story should be introspective and reflective, focusing on the character's emotional and mental transformation.
20. The story must emphasize the importance of self-awareness and authenticity in living a life of intention.",7,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention.
4. The character must create a vision board to visually represent their new goals and intentions.
5. The setting of the story must be in a remote countryside to symbolize the character's journey of self-discovery.
6. The character must have a daily gratitude journal to record positive aspects of their life.
7. The story must include a series of flashbacks to depict significant events that shaped the character's negative philosophy."
"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",Realistic Fiction,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention.
4. The character must create a vision board to visually represent their new goals and intentions.
5. The setting of the story must be in a remote countryside to symbolize the character's journey of self-discovery.
6. The character must have a daily gratitude journal to record positive aspects of their life.
7. The story must include a series of flashbacks to depict significant events that shaped the character's negative philosophy.
8. The character must undergo a physical transformation, such as changing their appearance or adopting a new lifestyle.
9. The story must incorporate elements of mindfulness and meditation practices that aid the character in living with intention.
10. The character must engage in volunteer work to give back to the community and find purpose.
11. The character must face internal conflicts and self-doubt throughout their transformation journey.
12. The story must explore the challenges the character faces when trying to align their new intentions with their past beliefs.
13. The character must have a recurring dream that symbolizes their internal struggles and growth.
14. Dialogue in the story should be introspective and philosophical, reflecting the character's internal thoughts and conflicts.
15. The story must include a symbolic object that represents the character's old philosophy and another that represents their new intentions.
16. The character must have a playlist of motivational songs that accompany them on their journey.
17. The climax of the story must involve a moment where the character must make a significant choice that demonstrates their commitment to living with intention.
18. The story must end with the character embarking on a new chapter in their life, leaving room for readers to imagine their future.
19. The narrative style of the story should be introspective and reflective, focusing on the character's emotional and mental transformation.
20. The story must emphasize the importance of self-awareness and authenticity in living a life of intention.",11,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention.
4. The character must create a vision board to visually represent their new goals and intentions.
5. The setting of the story must be in a remote countryside to symbolize the character's journey of self-discovery.
6. The character must have a daily gratitude journal to record positive aspects of their life.
7. The story must include a series of flashbacks to depict significant events that shaped the character's negative philosophy.
8. The character must undergo a physical transformation, such as changing their appearance or adopting a new lifestyle.
9. The story must incorporate elements of mindfulness and meditation practices that aid the character in living with intention.
10. The character must engage in volunteer work to give back to the community and find purpose.
11. The character must face internal conflicts and self-doubt throughout their transformation journey."
"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",Realistic Fiction,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention.
4. The character must create a vision board to visually represent their new goals and intentions.
5. The setting of the story must be in a remote countryside to symbolize the character's journey of self-discovery.
6. The character must have a daily gratitude journal to record positive aspects of their life.
7. The story must include a series of flashbacks to depict significant events that shaped the character's negative philosophy.
8. The character must undergo a physical transformation, such as changing their appearance or adopting a new lifestyle.
9. The story must incorporate elements of mindfulness and meditation practices that aid the character in living with intention.
10. The character must engage in volunteer work to give back to the community and find purpose.
11. The character must face internal conflicts and self-doubt throughout their transformation journey.
12. The story must explore the challenges the character faces when trying to align their new intentions with their past beliefs.
13. The character must have a recurring dream that symbolizes their internal struggles and growth.
14. Dialogue in the story should be introspective and philosophical, reflecting the character's internal thoughts and conflicts.
15. The story must include a symbolic object that represents the character's old philosophy and another that represents their new intentions.
16. The character must have a playlist of motivational songs that accompany them on their journey.
17. The climax of the story must involve a moment where the character must make a significant choice that demonstrates their commitment to living with intention.
18. The story must end with the character embarking on a new chapter in their life, leaving room for readers to imagine their future.
19. The narrative style of the story should be introspective and reflective, focusing on the character's emotional and mental transformation.
20. The story must emphasize the importance of self-awareness and authenticity in living a life of intention.",15,"1. The character must initially be a cynical and nihilistic individual who sees no value in life.
2. The character must have a specific triggering event that forces them to reconsider their beliefs.
3. Throughout the story, the character must interact with a wise mentor who guides them on their journey to living with intention.
4. The character must create a vision board to visually represent their new goals and intentions.
5. The setting of the story must be in a remote countryside to symbolize the character's journey of self-discovery.
6. The character must have a daily gratitude journal to record positive aspects of their life.
7. The story must include a series of flashbacks to depict significant events that shaped the character's negative philosophy.
8. The character must undergo a physical transformation, such as changing their appearance or adopting a new lifestyle.
9. The story must incorporate elements of mindfulness and meditation practices that aid the character in living with intention.
10. The character must engage in volunteer work to give back to the community and find purpose.
11. The character must face internal conflicts and self-doubt throughout their transformation journey.
12. The story must explore the challenges the character faces when trying to align their new intentions with their past beliefs.
13. The character must have a recurring dream that symbolizes their internal struggles and growth.
14. Dialogue in the story should be introspective and philosophical, reflecting the character's internal thoughts and conflicts.
15. The story must include a symbolic object that represents the character's old philosophy and another that represents their new intentions."
